strategy,symbol,side,entry_ts,exit_ts,entry,exit,qty,pnl,stop,target
VWAPReversion,NVDA,short,2025-09-22 15:37:00,2025-09-22 15:45:00,182.765,183.13053,1367,-499.67951000000926,183.13053,180.57056779776087
VWAPReversion,NVDA,short,2025-09-22 15:38:00,2025-09-22 15:45:00,182.7601,183.1256202,1367,-499.6661133999887,183.1256202,180.57476107526253
VWAPReversion,NVDA,short,2025-09-22 15:39:00,2025-09-22 15:45:00,182.685,183.05037000000002,1368,-499.8261600000176,183.05037000000002,180.58795232622532
VWAPReversion,NVDA,short,2025-09-22 15:41:00,2025-09-22 15:46:00,182.85001,183.21571002,1367,-499.9119273399882,183.21571002,180.59828558195233
VWAPReversion,NVDA,short,2025-09-22 15:43:00,2025-09-22 15:45:00,182.84,183.20568,1367,-499.88455999999667,183.20568,180.60415885768117
VWAPReversion,NVDA,short,2025-09-22 15:47:00,2025-09-22 15:50:00,183.17999,183.54634998,1364,-499.7150127199981,183.54634998,180.62763006601264
VWAPReversion,NVDA,short,2025-09-22 15:50:00,2025-09-22 15:50:00,183.25,183.6165,1364,-499.9060000000028,183.6165,180.65815359895686
VWAPReversion,NVDA,short,2025-09-22 15:51:00,2025-09-22 15:55:00,182.99001,183.35599002,1366,-499.9287073199931,183.35599002,180.6703697067214
VWAPReversion,NVDA,short,2025-09-22 15:52:00,2025-09-22 15:55:00,182.87,183.23574,1367,-499.9665799999839,183.23574,180.67770920009477
VWAPReversion,NVDA,short,2025-09-22 15:58:00,2025-09-23 09:33:00,183.55499,180.75515294288883,1361,3810.578234728311,183.92209998,180.75515294288883
VWAPReversion,NVDA,short,2025-09-23 09:32:00,2025-09-23 09:32:00,181.089996,181.48371905357143,1269,-499.63455498213284,181.48371905357143,180.81292774709263
VWAPReversion,NVDA,long,2025-09-23 09:42:00,2025-09-23 09:45:00,180.16,179.62020694642857,926,-499.8483676071437,179.62020694642857,180.80342634387077
VWAPReversion,NVDA,long,2025-09-23 09:43:00,2025-09-23 09:45:00,180.31,179.75601051785716,902,-499.6985128928408,179.75601051785716,180.8024538619131
VWAPReversion,NVDA,long,2025-09-23 09:46:00,2025-09-23 09:46:00,180.1301,179.74027625,1282,-499.75404750000644,179.74027625,180.79554438134068
VWAPReversion,NVDA,long,2025-09-23 09:48:00,2025-09-23 09:48:00,180.6114,180.20711217857144,1236,-499.6997472857099,180.20711217857144,180.79281840255845
VWAPReversion,NVDA,long,2025-09-23 09:50:00,2025-09-23 09:55:00,180.5112,180.12588664285715,1297,-499.7514242142747,180.12588664285715,180.79097638502392
